Nome Arquivo; Caminho Arquivos; Termos Extraidos
125789565961_673810950;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789565961_673810950.pdf; SEQUER FOI FORNECIDA COPIA DO CONTRATO, 
125789566321_673812107;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789566321_673812107.pdf; Sem termos localizados
125789566356_673812166;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789566356_673812166.pdf; NAO ASSINOU, JAMAIS SOLICITOU O REFERIDO EMPRESTIMO, NAO FEZ O REFERIDO EMPRESTIMO, DECLARACAO DE INEXISTENCIA DA DIVIDA, 
125789566364_673812199;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789566364_673812199.pdf; NAO ASSINOU, JAMAIS SOLICITOU O REFERIDO EMPRESTIMO, NAO FEZ O REFERIDO EMPRESTIMO, DECLARACAO DE INEXISTENCIA DA DIVIDA, 
125789566372_673812223;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789566372_673812223.pdf; NAO ASSINOU, JAMAIS SOLICITOU O REFERIDO EMPRESTIMO, NAO FEZ O REFERIDO EMPRESTIMO, DECLARACAO DE INEXISTENCIA DA DIVIDA, 
125789566810_673813858;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789566810_673813858.pdf; Sem termos localizados
125789567050_673814642;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789567050_673814642.pdf; NAO ASSINOU, NAO FEZ O REFERIDO EMPRESTIMO, 
125789567182_673815065;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789567182_673815065.pdf; SEQUER FOI FORNECIDA COPIA DO CONTRATO, 
125789567190_673815088;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789567190_673815088.pdf; SEQUER FOI FORNECIDA COPIA DO CONTRATO, 
125789567204_673815109;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789567204_673815109.pdf; SEQUER FOI FORNECIDA COPIA DO CONTRATO, 
125789567212_673815128;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789567212_673815128.pdf; SEQUER FOI FORNECIDA COPIA DO CONTRATO, 
125789567220_673815150;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789567220_673815150.pdf; NAO ASSINOU, JAMAIS SOLICITOU O REFERIDO EMPRESTIMO, NAO FEZ O REFERIDO EMPRESTIMO, DECLARACAO DE INEXISTENCIA DA DIVIDA, 
125789567239_673815183;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789567239_673815183.pdf; NAO ASSINOU, JAMAIS SOLICITOU O REFERIDO EMPRESTIMO, NAO FEZ O REFERIDO EMPRESTIMO, DECLARACAO DE INEXISTENCIA DA DIVIDA, 
125789567247_673815211;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789567247_673815211.pdf; NAO ASSINOU, JAMAIS SOLICITOU O REFERIDO EMPRESTIMO, NAO FEZ O REFERIDO EMPRESTIMO, DECLARACAO DE INEXISTENCIA DA DIVIDA, 
125789567263_673815265;\\192.168.254.108\sbkmanager\Carga\carga_maneger\E1062\D903481\2120\125789567263_673815265.pdf; SEQUER FOI FORNECIDA COPIA DO CONTRATO, 
